PLAYER,TEAM,GP,PTS,AST,REB,STL,BLK
Jordan Walsh,BOS,61,5.3,0.8,4.1,0.7,0.5
Guerschon Yabusele,CHI,62,5.3,0.9,3.3,0.4,0.2
Kobe Brown,IND,55,5.2,1.1,2.7,0.3,0.2
Baylor Scheierman,BOS,70,5.0,1.4,3.5,0.5,0.1
Ochai Agbaji,BKN,61,5.0,0.7,2.2,0.4,0.3
Adem Bona,PHI,65,4.8,0.4,4.4,0.4,1.2
Josh Okogie,HOU,71,4.6,0.8,2.5,0.8,0.2
Mouhamed Gueye,ATL,72,4.6,0.9,3.6,0.8,0.5
Jabari Walker,PHI,60,4.5,0.6,3.1,0.4,0.2
Jericho Sims,MIL,60,4.4,1.2,5.1,0.2,0.2
Jarred Vanderbilt,LAL,59,4.4,1.2,4.5,0.8,0.3
Craig Porter Jr.,CLE,60,4.3,3.2,3.3,0.9,0.6
Rayan Rupert,MEM,60,4.3,0.8,2.5,0.8,0.1
Tyler Kolek,NYK,60,4.3,2.7,1.6,0.4,0.1
Noah Penda,ORL,54,4.2,1.2,3.4,0.6,0.3
Nicolas Batum,LAC,70,4.0,0.9,2.6,0.7,0.3
Hugo González,BOS,70,4.0,0.6,3.4,0.6,0.3
Caleb Martin,DAL,58,3.9,1.4,2.5,0.7,0.3
Carter Bryant,SAS,64,3.9,0.5,2.4,0.2,0.3
Jaylen Clark,MIN,63,3.8,0.5,1.8,0.6,0.1
Micah Peavy,NOP,55,3.8,0.9,1.8,0.6,0.1
Clint Capela,HOU,68,3.6,0.7,4.6,0.5,0.8
Mohamed Diawara,NYK,65,3.5,0.7,1.4,0.2,0.1
Dwight Powell,DAL,57,3.4,0.9,3.8,0.5,0.3
Jamison Battle,TOR,55,3.3,0.4,1.6,0.1,0.1
Tyus Jones,DEN,64,2.9,2.4,1.0,0.6,0.0
